Comment,Designator,Footprint,LCSC
0.1uF,"C1,C2,C3,C4",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C24497
KF142V-5_08-2P,U7,CONN-TH_P5.08_KF142V-5.08-2P,C475134
AM26LS31CD,"U5,U6,U9",SOIC-16_3.9x9.9mm_P1.27mm,C6179
74HC86,U8,SOIC-14_3.9x8.7mm_P1.27mm,C6763
Screw_Terminal_01x08,J5,CONN-TH_8P-P5.08_KF142V-5.08-8P,
MountingHole_Pad,H3,MountingHole_3.2mm_M3_Pad_Via,
Jumper_3_Open,JP6,PinHeader_1x03_P2.54mm_Vertical,
Screw_Terminal_01x08,J8,CONN-TH_8P-P5.08_KF142V-5.08-8P,
Jumper_3_Open,JP3,PinHeader_1x03_P2.54mm_Vertical,
Jumper_3_Open,JP8,PinHeader_1x03_P2.54mm_Vertical,
Screw_Terminal_01x03,J1,CONN-TH_3P-P5.08_KF142V-5.08-3P,
LTV-814,U3,DIP-4_W7.62mm,
MountingHole_Pad,H1,MountingHole_3.2mm_M3_Pad_Via,
LTV-814,U1,DIP-4_W7.62mm,
Screw_Terminal_01x08,J6,CONN-TH_8P-P5.08_KF142V-5.08-8P,
Conn_02x13_Odd_Even,J9,IDC-Header_2x13_P2.54mm_Vertical,
Jumper_3_Open,JP2,PinHeader_1x03_P2.54mm_Vertical,
Jumper_3_Open,JP7,PinHeader_1x03_P2.54mm_Vertical,
Jumper_3_Open,JP4,PinHeader_1x03_P2.54mm_Vertical,
Screw_Terminal_01x03,J4,CONN-TH_3P-P5.08_KF142V-5.08-3P,
Screw_Terminal_01x03,J2,CONN-TH_3P-P5.08_KF142V-5.08-3P,
LTV-814,U4,DIP-4_W7.62mm,
MountingHole_Pad,H2,MountingHole_3.2mm_M3_Pad_Via,
Jumper_3_Open,JP1,PinHeader_1x03_P2.54mm_Vertical,
MountingHole_Pad,H4,MountingHole_3.2mm_M3_Pad_Via,
Screw_Terminal_01x08,J7,CONN-TH_8P-P5.08_KF142V-5.08-8P,
Screw_Terminal_01x03,J3,CONN-TH_3P-P5.08_KF142V-5.08-3P,
Jumper_3_Open,JP5,PinHeader_1x03_P2.54mm_Vertical,
LTV-814,U2,DIP-4_W7.62mm,
10k,R10,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
1k,R1,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
R,R7,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
Polyfuse_Small,F1,R_1812_4532Metric_Pad1.30x3.40mm_HandSolder,
1k,R5,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
10k,R12,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
10k,R8,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
10k,R11,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
10k,R4,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
10k,R2,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
10k,R6,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
10k,R9,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
1k,R3,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
10k,R13,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
